weight,care_responsibility,heard_before,realistic,enthusiastic,worried,willing_to_use,less_worried_about_family_care,society_saves_money,treat_robot_like_friend,older_adults_more_isolated,older_adults_more_independent,only_for_people_who_cannot_afford_human_caregiver,camera_human_operator,positive_reason_1,positive_reason_2,positive_reason_3,negative_reason_1,negative_reason_2
3.362357,I am already doing this,,,,,,,,,,,,,,,,,
0.1449981,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Refused / No answer,,,,
0.8387618,Somewhat likely,,,,,,,,,,,,,,,,,
0.629415,Very likely,,,,,,,,,,,,,,,,,
0.6597011,Very likely,,,,,,,,,,,,,,,,,
0.5715109,Somewhat likely,,,,,,,,,,,,,,,,,
1.1459235,Not too likely,A little,Somewhat realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.689755,I am already doing this,,,,,,,,,,,,,,,,,
1.007791,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Worse,,,,Human factor lacking,
0.1982521,Very likely,,,,,,,,,,,,,,,,,
0.8632876,Somewhat likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,Better quality of care,,,,
0.1893885,Very likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
1.0973649,Not at all likely,,,,,,,,,,,,,,,,,
0.2427057,Somewhat likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.7568839,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.8505005,Not too likely,,,,,,,,,,,,,,,,,
0.15826,Somewhat likely,A lot,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely",No difference,Other,,,,
0.1447592,Very likely,,,,,,,,,,,,,,,,,
0.8403244,Somewhat likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.1100222,Very likely,,,,,,,,,,,,,,,,,
0.6548822,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,Worried about errors
5.8151292,Not at all likely,Nothing at all,Not at all realistic,Not too enthusiastic,Not too worried,Refused,"No, not likely",Refused,"No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,,
0.1530854,Not too likely,,,,,,,,,,,,,,,,,
0.3279338,Somewhat likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.7505338,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.1160584,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.9786945,Very likely,A little,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely","Yes, likely",Better,,,,Worried about errors,
0.4040268,Somewhat likely,,,,,,,,,,,,,,,,,
0.5404039,Not too likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Worried about errors,
0.4667675,Very likely,,,,,,,,,,,,,,,,,
0.859112,Somewhat likely,,,,,,,,,,,,,,,,,
0.2019179,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Worse,Reduce burden on family,Greater independence,,,
0.1104234,I am already doing this,,,,,,,,,,,,,,,,,
1.9355847,Very likely,,,,,,,,,,,,,,,,,
1.2552952,Somewhat likely,,,,,,,,,,,,,,,,,
1.0294406,Very likely,,,,,,,,,,,,,,,,,
0.3087588,Very likely,,,,,,,,,,,,,,,,,
0.0892452,Very likely,,,,,,,,,,,,,,,,,
0.6335923,Very likely,,,,,,,,,,,,,,,,,
0.1605302,Not too likely,,,,,,,,,,,,,,,,,
0.8702629,Not at all likely,,,,,,,,,,,,,,,,,
0.2091157,Not at all likely,A little,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Reduce burden on family,,,,
0.4132918,Somewhat likely,Nothing at all,Not at all realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Worried about errors,
0.1533502,Not at all likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
0.6455582,I am already doing this,,,,,,,,,,,,,,,,,
0.2911725,Somewhat likely,,,,,,,,,,,,,,,,,
0.1998802,Somewhat likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,Caregiving is family's job
0.3768807,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.3805682,Not at all likely,,,,,,,,,,,,,,,,,
0.8723663,Not at all likely,,,,,,,,,,,,,,,,,
0.0879108,Not too likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Worse,Reduce burden on family,,,,
0.2480497,Not at all likely,,,,,,,,,,,,,,,,,
0.9666008,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.794031,Somewhat likely,,,,,,,,,,,,,,,,,
0.263958,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Just don't like it,
2.5034728,Somewhat likely,,,,,,,,,,,,,,,,,
0.4174932,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Better,Reduce burden on family,Household assistance,,,
0.6195056,I am already doing this,,,,,,,,,,,,,,,,,
0.6534848,I am already doing this,,,,,,,,,,,,,,,,,
1.6079465,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","No, not likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.5718029,Very likely,,,,,,,,,,,,,,,,,
0.154859,Not too likely,,,,,,,,,,,,,,,,,
0.2678637,Very likely,,,,,,,,,,,,,,,,,
0.3243539,Somewhat likely,,,,,,,,,,,,,,,,,
0.204983,I am already doing this,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
2.9374409,Somewhat likely,Nothing at all,Not at all realistic,Not too enthusiastic,Not too worried,No,"No, not likely",Refused,"No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.1422742,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Safety / Security,,,,
0.103292,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Not at all worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Cost,Not advanced enough yet
1.2303162,Very likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.2255102,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.3140073,Very likely,Nothing at all,Not at all realistic,Not too enthusiastic,Not too worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.2686213,Very likely,,,,,,,,,,,,,,,,,
0.0940887,Very likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Save money,,,,
1.1561981,Somewhat likely,,,,,,,,,,,,,,,,,
0.2558899,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.4757072,Very likely,A little,Somewhat realistic,Not at all enthusiastic,Not at all worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Not advanced enough yet,
0.1209244,I am already doing this,Nothing at all,Somewhat realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.1044203,I am already doing this,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Worried about errors,7.0
0.149157,Not at all likely,,,,,,,,,,,,,,,,,
2.3867436,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.1074909,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.1677689,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.1795456,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Worse,,,,Human factor lacking,
0.8498931,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.2638394,I am already doing this,,,,,,,,,,,,,,,,,
0.1676263,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,Can do physically challenging tasks,,,,
1.8180772,Not at all likely,,,,,,,,,,,,,,,,,
1.1613675,I am already doing this,A little,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.6779592,Not at all likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely",Refused,"Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Other,,,,
0.3842813,Very likely,,,,,,,,,,,,,,,,,
1.8243931,Very likely,,,,,,,,,,,,,,,,,
0.1145901,Very likely,,,,,,,,,,,,,,,,,
0.1668379,Very likely,,,,,,,,,,,,,,,,,
0.1653285,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Refused / No answer,
0.189806,Somewhat likely,,,,,,,,,,,,,,,,,
0.1278774,Not at all likely,,,,,,,,,,,,,,,,,
0.1530897,Not too likely,,,,,,,,,,,,,,,,,
0.1428367,Very likely,A little,Not very realistic,Not too enthusiastic,Very worried,Yes,"No, not likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.5513634,Not too likely,,,,,,,,,,,,,,,,,
0.2403894,I am already doing this,,,,,,,,,,,,,,,,,
0.2291523,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Cost,
0.3702499,I am already doing this,A little,Not at all realistic,Not at all enthusiastic,Not at all worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.1145606,Not too likely,,,,,,,,,,,,,,,,,
0.2669063,Somewhat likely,A lot,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.5513639,Very likely,,,,,,,,,,,,,,,,,
1.6836011,I am already doing this,,,,,,,,,,,,,,,,,
0.2145286,Somewhat likely,A little,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
2.5067437,Somewhat likely,,,,,,,,,,,,,,,,,
0.2903648,Somewhat likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
1.1066103,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Refused / No answer,,,,
1.2274498,Not at all likely,,,,,,,,,,,,,,,,,
0.8767504,I am already doing this,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.1157346,Somewhat likely,,,,,,,,,,,,,,,,,
0.7365544,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Worse,,,,Refused / No answer,
0.4656722,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,Caregiving is family's job
0.1230534,Very likely,,,,,,,,,,,,,,,,,
0.2711657,Very likely,,,,,,,,,,,,,,,,,
0.3412141,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
1.0940112,Very likely,A little,Extremely realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Caregiving is family's job,
0.846911,Very likely,,,,,,,,,,,,,,,,,
0.2792338,I am already doing this,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely",Refused,"Yes, likely",Refused,Better,Reduce burden on family,,,,
0.2719537,Not at all likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Not at all worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.1679258,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,Other,,,,
0.1069827,Not too likely,A little,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Save money,,,,
0.4182616,Not too likely,,,,,,,,,,,,,,,,,
0.2459879,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
2.3995056,I am already doing this,,,,,,,,,,,,,,,,,
0.7239547,Very likely,,,,,,,,,,,,,,,,,
0.3374627,Somewhat likely,,,,,,,,,,,,,,,,,
0.5630821,Not at all likely,,,,,,,,,,,,,,,,,
0.1850733,Very likely,A little,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.2089994,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,Yes,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Worse,Greater independence,,,,
2.8842493,Very likely,,,,,,,,,,,,,,,,,
7.4234163,Somewhat likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Reduce burden on family,,,,
0.1534131,Somewhat likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Reduce burden on family,,,,
0.259164,I am already doing this,,,,,,,,,,,,,,,,,
0.3106637,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Better quality of care,,,,
2.426807,Very likely,,,,,,,,,,,,,,,,,
0.2058348,Not at all likely,,,,,,,,,,,,,,,,,
1.3539696,Very likely,,,,,,,,,,,,,,,,,
0.2382473,Not at all likely,,,,,,,,,,,,,,,,,
0.3941642,I am already doing this,,,,,,,,,,,,,,,,,
0.1129289,Not at all likely,,,,,,,,,,,,,,,,,
0.2126593,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",No difference,Safety / Security,Household assistance,,,
0.3736172,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
0.1902408,Not too likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
2.9530893,Not too likely,A little,Not very realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","No, not likely","No, not likely","No, not likely",No difference,,,,Cost,
1.6604512,Very likely,A little,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.1615563,Very likely,A little,Not very realistic,Somewhat enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Refused / No answer,
2.815932,Not too likely,,,,,,,,,,,,,,,,,
0.5077044,Not at all likely,,,,,,,,,,,,,,,,,
0.5066021,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.1716781,Very likely,A little,Somewhat realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.9103105,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.2067515,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.2665644,Very likely,,,,,,,,,,,,,,,,,
0.6352224,I am already doing this,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Greater independence,,,,
0.2686899,Not too likely,,,,,,,,,,,,,,,,,
0.2502347,Somewhat likely,,,,,,,,,,,,,,,,,
0.1476598,Somewhat likely,Nothing at all,Not very realistic,Not at all enthusiastic,Not too worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.7962705,Very likely,A little,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Reduce burden on family,,,,
0.9189786,Somewhat likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Not at all worried,No,"No, not likely","No, not likely","No, not likely","No, not likely","No, not likely","No, not likely",No difference,,,,Refused / No answer,
0.290131,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,
1.9205585,Somewhat likely,,,,,,,,,,,,,,,,,
0.6008885,Somewhat likely,,,,,,,,,,,,,,,,,
0.1903686,Not too likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.5302232,Not at all likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
1.0315006,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.1299771,Very likely,,,,,,,,,,,,,,,,,
2.622143,Very likely,Nothing at all,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Safety / Security,,,,
0.1417419,Very likely,,,,,,,,,,,,,,,,,
1.411009,Very likely,,,,,,,,,,,,,,,,,
0.3576078,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely",Better,Save money,,,,
1.7782186,Not at all likely,Nothing at all,Not at all realistic,Somewhat enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
2.9417572,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.3093048,I am already doing this,,,,,,,,,,,,,,,,,
0.1837284,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.1469107,Not too likely,,,,,,,,,,,,,,,,,
1.0550582,I am already doing this,A little,Not very realistic,Not at all enthusiastic,Not too worried,No,"No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Worried about errors,7.0
0.1765954,Very likely,,,,,,,,,,,,,,,,,
0.4319357,Somewhat likely,,,,,,,,,,,,,,,,,
1.3373775,Very likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,Yes,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Worse,Other,,,,
7.4234163,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Worried about errors,
0.1271232,Very likely,A lot,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.0889491,Not too likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,Better quality of care,,,,
2.1597552,Very likely,,,,,,,,,,,,,,,,,
1.1081741,Not too likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely",Refused,"Yes, likely","No, not likely","Yes, likely","Yes, likely",Worse,Greater independence,,,,
0.2700555,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.233046,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,
0.5205012,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Worried about errors,
0.6539867,Not too likely,,,,,,,,,,,,,,,,,
0.3022366,Very likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Always available,,,,
0.7963327,Very likely,,,,,,,,,,,,,,,,,
0.2322135,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Refused / No answer,
0.250398,Not at all likely,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Just don't like it,
0.122159,I am already doing this,,,,,,,,,,,,,,,,,
0.180063,Somewhat likely,,,,,,,,,,,,,,,,,
0.3165027,Not too likely,,,,,,,,,,,,,,,,,
0.3353452,Not too likely,,,,,,,,,,,,,,,,,
1.7993713,Very likely,,,,,,,,,,,,,,,,,
1.8753,Very likely,A little,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Other,
0.9663349,Not too likely,,,,,,,,,,,,,,,,,
0.2158076,I am already doing this,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Other,,,,
0.412965,I am already doing this,,,,,,,,,,,,,,,,,
0.6857155,Very likely,,,,,,,,,,,,,,,,,
0.158932,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Reduce burden on family,,,,
